Taxa	PedUC47	PedUC58	PedCtrl59	PedUC60
c__Syntrophomonadia|o__Thermacetogeniales|f__Thermacetogeniaceae	0.0	0.0	0.0	1.0
k__Bacillati|p__Actinomycetota|c__Actinomycetes	1879.0	5664.0	2435.0	71462.0
k__Bacillati|p__Actinomycetota|c__Candidatus_Humimicrobiia	0.0	0.0	0.0	1.0
k__Bacillati|p__Actinomycetota|c__Coriobacteriia	10028.0	5645.0	2142.0	5412.0
k__Bacillati|p__Armatimonadota|c__Fimbriimonadia	0.0	0.0	0.0	3.0
k__Bacillati|p__Bacillota|c__Bacilli	3869.0	1839.0	1401.0	2683.0
k__Bacillati|p__Bacillota|c__Clostridia	385916.0	409651.0	228369.0	1215642.0
k__Bacillati|p__Bacillota|c__Erysipelotrichia	485.0	493.0	715.0	10679.0
k__Bacillati|p__Bacillota|c__Negativicutes	1919.0	10299.0	5445.0	45447.0
k__Bacillati|p__Bacillota|c__Tissierellia	14.0	851.0	88.0	79.0
k__Bacillati|p__Bacillota|g__Candidatus_Avanaerovorax	0.0	0.0	1.0	0.0
k__Bacillati|p__Bacillota|g__Candidatus_Coprosoma	0.0	0.0	0.0	1.0
k__Bacillati|p__Bacillota|g__Hydrogenispora	0.0	0.0	1.0	0.0
k__Bacillati|p__Bacillota|g__Ndongobacter	0.0	0.0	0.0	1.0
k__Bacillati|p__Bacillota|g__Negativibacillus	14.0	2.0	696.0	50.0
k__Bacillati|p__Bacillota|s__endosymbiont_'TC1'_of_Trimyema_compressum	0.0	0.0	0.0	1.0
k__Bacillati|p__Candidatus_Melainabacteria|o__Candidatus_Gastranaerophilales	12.0	6.0	5.0	54.0
k__Bacillati|p__Chloroflexota|c__Anaerolineae	0.0	0.0	1.0	2.0
k__Bacillati|p__Chloroflexota|c__Caldilineae	0.0	0.0	0.0	1.0
k__Bacillati|p__Chloroflexota|c__Chloroflexia	0.0	0.0	0.0	2.0
k__Bacillati|p__Chloroflexota|c__Dehalococcoidia	0.0	0.0	0.0	2.0
k__Bacillati|p__Cyanobacteriota|c__Cyanophyceae	1.0	2.0	1.0	10.0
k__Bacillati|p__Cyanobacteriota|s__cyanobacterium_endosymbiont_of_Epithemia_turgida	0.0	0.0	0.0	1.0
k__Bacillati|p__Mycoplasmatota|c__Mollicutes	3.0	0.0	6.0	3184.0
k__Bacillati|p__Mycoplasmatota|g__Candidatus_Pelethosoma	0.0	1.0	0.0	0.0
k__Bacillati|p__Mycoplasmatota|o__Mycoplasmoidales	0.0	0.0	0.0	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes	0.0	0.0	0.0	1.0
k__Fungi|p__Ascomycota|c__Leotiomycetes	0.0	0.0	1.0	0.0
k__Fungi|p__Ascomycota|c__Pichiomycetes	0.0	1.0	0.0	0.0
k__Fungi|p__Ascomycota|c__Saccharomycetes	3.0	1.0	0.0	3.0
k__Fungi|p__Ascomycota|c__Schizosaccharomycetes	0.0	0.0	1.0	0.0
k__Fungi|p__Ascomycota|c__Sordariomycetes	1.0	0.0	1.0	1.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes	0.0	0.0	2.0	0.0
k__Fusobacteriati|p__Fusobacteriota|c__Fusobacteriia	45.0	23.0	20.0	167.0
k__Heunggongvirae|p__Peploviricota|c__Herviviricetes	0.0	17.0	0.0	0.0
k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	8.0	297.0	0.0	2.0
k__Metazoa|p__Arthropoda|c__Insecta	176.0	347.0	24.0	0.0
k__Metazoa|p__Chordata|c__Mammalia	397.0	72.0	767.0	41.0
k__Metazoa|p__Mollusca|c__Gastropoda	0.0	0.0	0.0	1.0
k__Methanobacteriati|p__Methanobacteriota|c__Archaeoglobi	0.0	0.0	0.0	1.0
